NAME;AGE;SLEEPHOURS;IDNUMBER;GENDER;EFFECTIVENESS;CITY
Gustavo Quiñónez Zamora;34;1;304-02-5974;M;0;Bristol
Antonia Griego Prieto;85;2;044-78-6584;F;80;Oxford
Barbara Delacrúz Aranda;20;1;769-82-5542;M;50;Liverpool
Sra. Jaime Cabrera Báez;59;2;089-03-8244;F;0;London
Ramiro Amaya Prieto;82;6;385-61-3959;M;0;London
Ester Velasco Lemus;20;4;586-69-0413;M;80;Oxford
Carmen Terrazas Delacrúz;89;10;805-70-5912;F;100;Oxford
Sr. Octavio Becerra Ortiz;24;1;737-05-1847;F;100;Liverpool
Julia López Zavala;13;1;887-14-4319;F;100;London
Antonio Caballero Ulloa;72;1;036-96-3381;F;0;London
Maricarmen Garza Delgado;12;8;509-27-3725;M;100;London
José Luis Salinas Valadez;84;6;782-82-7187;M;0;Liverpool
Felipe Iglesias Botello;12;8;550-27-1062;F;50;London
Carmen Nieto Quesada;28;5;507-46-6245;M;50;London
Daniela Romo Esquivel;31;3;496-79-5178;F;0;Oxford
Sofia Torres Valencia;3;5;733-92-6792;F;0;Glasgow
Sr. Fernando Cardona Mora;88;9;201-70-8264;M;0;Liverpool
Mónica Cruz Orellana;13;7;596-70-7793;F;80;Liverpool
Julia Rubio Serna;90;2;301-76-4922;F;100;Glasgow
Marilu Rubio Córdova;69;6;460-43-2155;F;50;Glasgow
Sta. Beatriz Llamas Valladares;58;3;526-64-2797;F;0;Liverpool
Jesús Páez Calderón;51;5;327-75-8494;M;50;Bristol
Susana Cabán Corrales;86;2;380-21-2108;F;0;Bristol
Sra. Leonor Ortega Barragán;31;7;318-46-8228;F;50;Bristol
Sta. Guillermina Velásquez Nájera;3;2;186-32-3129;M;80;Glasgow
Patricio Domínguez Zúñiga;20;10;837-94-4746;F;100;Oxford
Susana Olivárez Núñez;43;4;052-19-4568;F;50;Oxford
Luis Miguel Malave Rosado;6;7;411-20-2585;F;80;Glasgow
Sra. Mariana Fernández Alejandro;79;9;605-57-3237;M;100;Bristol
Sta. Adriana Pedraza Baeza;3;3;835-13-4836;F;0;Oxford
Sta. Mariano Garibay Orellana;33;3;647-99-0035;M;0;Glasgow
Sra. Claudio Adorno Fonseca;60;6;418-44-7484;F;50;Glasgow
Adela Alicea Rendón;78;4;116-32-2942;F;50;Bristol
José María Lara Madrid;22;10;698-88-1803;F;80;Bristol
Elisa Barajas Juárez;59;10;695-49-0180;M;50;London
Jaime Quiñónez Sandoval;43;6;158-43-0108;M;0;Bristol
Horacio Ríos Menchaca;89;8;336-49-7094;F;100;Bristol
Eva Mota Villegas;10;5;089-22-1980;F;80;Liverpool
Débora Chavarría Ceballos;50;2;330-62-5768;F;50;Glasgow
Sra. Isabela Delao Casanova;48;1;579-53-0273;F;100;Oxford
Víctor Riojas Garibay;29;9;231-38-3468;F;0;Oxford
Gabriel Montalvo Santiago;11;1;716-70-8696;M;0;Liverpool
Gregorio Aragón Ríos;32;3;660-54-6565;F;80;Oxford
Miguel Ángel Irizarry Medina;81;7;832-82-9095;M;0;Bristol
Jorge Salcedo Arias;54;3;154-22-3845;F;50;Liverpool
Anita Castro Verdugo;27;5;211-33-0977;F;80;Oxford
Jerónimo Villa Puente;17;3;281-53-2672;F;50;Bristol
Jesús Deleón Razo;30;1;393-53-8263;F;0;Liverpool
Sr. Claudio Becerra Caballero;35;2;772-97-9395;M;0;Bristol
Conchita Avilés Corrales;73;5;188-05-9817;F;0;Glasgow
Ernesto Toro Gollum;87;5;534-78-8762;F;50;Oxford
Rafael Guajardo Salcido;56;8;635-68-3027;M;80;London
Adela Chapa Solís;12;5;698-93-0895;M;100;London
Sr. Rocio Partida Matías;41;10;002-59-2069;F;50;Oxford
Marcela Balderas Caballero;4;8;175-48-9685;M;80;London
Sra. Federico Montero Páez;2;7;365-04-3451;M;0;Glasgow
Sr. Hugo Hernádez Rojo;88;5;636-26-6478;F;0;Bristol
Sra. Alfredo Muro Ávalos;30;6;007-86-1767;M;80;Oxford
Ariadna Gamez Quesada;16;9;657-82-9762;M;80;Liverpool
Tomás Nájera Ávila;32;10;868-30-9902;F;0;Oxford
Pilar Nájera Bernal;86;4;638-34-4649;F;0;Liverpool
Lourdes Valle Cruz;23;9;316-61-9527;M;100;Oxford
Alfonso Toledo Ybarra;9;8;038-92-1958;F;80;Oxford
Maricarmen Barajas Zepeda;31;10;621-61-9807;F;50;Liverpool
Sra. Elisa Luevano Aguayo;39;1;526-02-0403;M;100;Oxford
Sergio Carreón Arreola;31;9;039-49-3313;M;0;Oxford
Irene Marrero Olivera;20;6;288-25-4569;M;50;Glasgow
Sra. Jerónimo Salas Vallejo;2;1;088-79-9429;F;0;Bristol
Miguel Palomo Vásquez;4;10;317-62-5646;F;0;Glasgow
Gloria López Mesa;88;5;452-60-3087;M;50;Glasgow
Joaquín Briseño Quintana;48;3;545-61-3386;M;50;Oxford
Sta. Jorge de Jesús Villareal;82;5;777-98-7691;M;50;Glasgow
Lilia Trejo Olivárez;16;9;221-13-5834;M;50;Bristol
Cristina Cisneros Olivo;67;8;151-23-0890;F;0;Bristol
Berta Apodaca Duarte;17;9;417-86-1638;M;0;Glasgow
Timoteo Gaitán Morales;76;4;155-43-0962;F;100;Liverpool
Samuel Samaniego Ordóñez;30;4;538-50-2750;F;80;Oxford
Esteban Barragán Corral;76;6;146-42-2396;M;80;Liverpool
María Luisa Olivas Franco;41;8;753-83-3661;M;100;Liverpool
Caridad Santacruz Soria;49;3;875-10-3199;M;80;Liverpool
Maricarmen Palomo Luevano;78;1;123-98-5247;M;0;Oxford
Sergio Ferrer Garay;78;1;655-86-2685;M;0;London
Cecilia Cazares Viera;1;9;390-40-3187;M;50;Oxford
Benito Anaya Henríquez;64;3;487-03-7019;M;0;Bristol
Benito Muñoz Abrego;30;7;389-38-4411;M;80;Bristol
Benito Hernández Treviño;16;2;322-34-8334;F;0;Liverpool
Sra. Josefina Laboy Ceja;46;8;707-30-4364;M;50;Bristol
Julio César Elizondo Abreu;67;9;751-10-9971;M;0;Bristol
Micaela Espino Torres;5;5;252-86-0916;F;100;London
Débora Casillas Franco;16;8;469-89-6416;F;50;London
Julia Almonte Alaniz;11;7;781-03-0024;F;100;Liverpool
Luz Apodaca Tello;88;9;190-84-3837;M;50;Glasgow
Marcos Ramón Peres;16;5;282-72-2263;F;80;Liverpool
Rodrigo Rosado Salcedo;15;3;787-39-1807;F;100;Bristol
Javier Limón Mondragón;51;4;701-62-3124;F;50;Glasgow
Cristobal Delrío Guevara;17;10;587-18-9523;F;0;Oxford
Patricio Centeno Cardona;83;4;130-02-7228;F;100;Glasgow
Armando Quezada Calvillo;31;7;614-92-0192;M;0;Bristol
Margarita Estévez Torres;47;5;496-62-8675;F;100;Oxford
Sta. Claudia Arreola Urbina;17;5;755-75-2860;M;100;Oxford
José Emilio Feliciano Arenas;19;7;630-71-9280;M;100;Oxford
Santiago Orosco Palomino;21;8;752-06-2830;F;80;London
Adán Rodríguez Pizarro;65;6;330-23-3698;M;100;London
Alejandra Pabón Atencio;85;4;502-43-6503;M;0;London
Sra. María Cristina Reyes Mesa;6;5;071-31-1265;F;80;Liverpool
Sta. Javier Lugo Peña;84;6;584-37-8807;F;0;London
Irene Armenta Verdugo;25;2;368-45-3047;F;100;Glasgow
Esteban Roldán Cornejo;26;9;468-75-7303;M;50;Oxford
Pablo Cantú Sedillo;15;6;514-21-5470;F;50;Glasgow
Gabriel Cortez Almanza;88;5;722-48-9094;M;0;Bristol
Armando Hernández Malave;68;4;651-41-9119;M;0;London
Sra. Miguel Marín Moya;84;6;653-36-3439;M;0;London
Diana Dueñas Hernandes;4;9;238-62-3318;F;0;Oxford
José Luis Melgar Montero;20;4;711-72-6353;F;80;Liverpool
Sr. Luis Gaona Rael;45;9;449-70-5052;M;80;Bristol
Alicia Estévez Prado;65;7;180-36-8147;M;100;Bristol
José Fuentes Sisneros;30;6;066-48-7062;F;0;Glasgow
Joaquín Mayorga Crespo;30;6;712-35-6890;M;100;Oxford
Sr. Mayte Altamirano Negrón;54;2;853-48-6259;F;80;London
Raúl Alonso Laboy;3;6;780-25-0366;M;0;Oxford
Juana Valdez Valadez;45;10;217-54-1168;F;100;Liverpool
Octavio Gálvez Gollum;69;9;754-60-0635;F;100;Glasgow
Ana Negrón Aguayo;72;9;801-63-9662;F;50;Oxford
Sra. Jacobo Carmona Jáquez;53;10;594-75-3446;M;80;Bristol
Sra. Rocio Gutiérrez Samaniego;66;4;273-82-1774;M;80;Glasgow
Jorge Puga Suárez;16;8;697-26-1506;F;50;Liverpool
Mario Contreras Meraz;27;3;201-63-7449;F;100;Bristol
Sra. Luis Miguel Parra Cortés;6;1;514-88-4993;F;100;Liverpool
Sra. Luis Miguel Mejía Llamas;72;9;372-08-9697;M;80;Bristol
Andrés Benítez Paredes;9;8;766-59-4828;M;80;Liverpool
Jerónimo Gamez Godínez;45;4;686-67-0359;M;80;Liverpool
Sr. Lucas Becerra Montoya;57;7;194-38-1910;F;0;Glasgow
Conchita Caballero Elizondo;2;3;244-60-5999;M;80;Glasgow
Sra. Ramiro Pineda Godoy;39;2;011-56-4846;M;80;Liverpool
Sra. Lorena Garza Huerta;38;3;572-04-4758;M;80;London
Rosalia Camacho Alba;47;2;344-49-3336;M;80;Liverpool
Victoria Espino Rodríquez;32;6;810-46-6331;F;100;London
Vicente Matos Tamayo;26;1;868-15-9172;M;100;Bristol
Rosario Sánchez Barajas;87;1;547-41-2601;F;0;Bristol
Alejandro Gamboa Corral;30;7;435-29-3917;F;50;Bristol
Juana Aguayo Garica;51;6;364-84-1746;M;80;Oxford
María Cristina Maya Gallegos;89;2;126-66-5042;M;80;Oxford
Pablo Ozuna Ozuna;8;3;815-37-6300;M;80;Glasgow
Sara Archuleta Tijerina;21;6;383-60-9285;F;80;London
Sra. María José Ponce Nájera;61;6;314-61-4906;M;80;Glasgow
Sra. Ramón Ayala Quiroz;90;5;492-97-7676;M;0;Liverpool
Marco Antonio Báez Aguirre;45;9;812-12-9081;M;50;London
Alberto Galarza Perea;86;6;770-87-2646;M;50;Oxford
Miguel Ángel Uribe Miramontes;23;1;362-86-6888;M;0;Liverpool
Marta Bustamante Raya;64;1;704-47-2088;F;0;Liverpool
Lourdes Valencia Beltrán;85;3;759-91-9956;F;0;Bristol
Juan Carlos Zapata Oquendo;87;4;790-70-8290;F;0;London
Jaime Colón Ocasio;4;2;056-37-6162;M;80;Oxford
Sta. Mayte Hernádez Toledo;89;7;232-37-2784;M;0;London
Rosario Elizondo Aranda;64;8;038-82-4881;F;50;Liverpool
Sr. Adriana Casares Medina;36;2;483-75-5081;M;50;Bristol
Guillermina Zamora Berríos;81;8;012-42-4492;M;0;London
Gonzalo Manzanares Nazario;13;10;661-13-9024;M;50;London
Cristian Morales Delrío;10;7;039-87-5423;M;50;Liverpool
Carlota Miranda Miranda;11;2;878-14-7555;M;100;London
Florencia Balderas Reynoso;3;6;664-91-5494;F;0;Oxford
Sofia Santillán Quiroz;29;9;673-94-8828;M;100;Glasgow
Mónica Rodríquez Posada;46;9;289-13-1295;M;50;London
Gabriela Espinal Castañeda;90;7;619-15-3811;M;0;Bristol
Fernando Segovia Galindo;42;7;432-73-5428;F;80;Glasgow
Sra. Rosalia Pineda Henríquez;40;3;688-98-8954;M;50;Bristol
Mario Barrera Cano;81;3;302-55-2375;M;0;Liverpool
María Zamudio Ureña;85;3;223-09-8977;F;0;Bristol
Andrea Ochoa Valencia;7;1;489-78-6125;F;80;Liverpool
Ana María Acevedo Santacruz;37;4;846-78-9174;M;50;Bristol
Salvador Griego Salinas;83;1;051-62-5858;M;50;Oxford
Germán Girón Dávila;39;6;407-02-3844;M;100;Liverpool
Ester Vaca Olivera;6;5;676-27-5267;F;100;Glasgow
Natalia Gaitán Razo;9;8;770-47-0927;M;100;London
José Eduardo Vanegas Reyes;12;8;497-35-2676;M;50;London
Homero Oquendo Rosales;87;2;371-06-4509;F;0;Liverpool
Mayte Mata Dueñas;35;3;397-93-2352;F;100;Liverpool
Sra. María Cristina Dueñas Acosta;7;2;877-99-8807;M;0;London
Eva Fernández Portillo;4;5;459-21-8360;M;100;Bristol
Raquel Niño Flórez;19;8;583-50-7284;F;80;Oxford
Rubén Deleón Cuellar;13;5;432-01-4282;F;80;London
Sta. Rubén Jáquez Almonte;6;9;876-06-6342;M;100;Glasgow
Victoria Valverde Duarte;46;1;796-80-5582;F;0;London
Fernando Valladares Caldera;22;4;026-41-6458;M;0;Liverpool
Esperanza Altamirano Benavides;29;9;861-17-9606;M;80;London
Sta. José Luis Ocasio Treviño;90;1;319-92-1020;M;100;Oxford
Isabela Alcántar Domínguez;17;3;693-93-5736;M;100;London
Sta. Alberto Delapaz Espinal;20;10;394-47-8167;F;80;Oxford
Florencia Urrutia Carrasco;25;6;576-51-7868;M;80;Glasgow
Elvira Benítez Gómez;76;6;052-45-6463;F;100;Glasgow
Lourdes Galván Curiel;48;5;210-15-3974;M;0;Liverpool
Guillermo Valenzuela Negrete;42;9;541-05-6489;M;80;Liverpool
Gabriel Delgadillo Abreu;26;9;432-86-8532;F;100;Glasgow
Antonio Morales Sierra;83;3;661-84-6230;F;0;Bristol
Alicia Curiel Mateo;1;2;733-05-6882;F;0;Glasgow
Gerardo Gollum Ceja;22;5;827-98-0993;F;50;Oxford
Sta. José Luis Sanches Casanova;10;1;506-18-4236;M;80;London
Magdalena Bueno Villareal;9;9;380-83-3623;M;80;Bristol
Sara Villa Cepeda;22;7;564-65-8821;M;80;London
José Eduardo Zambrano Chacón;19;10;116-51-3388;F;50;Bristol
Elisa Abreu Gaytán;24;1;612-27-6263;F;100;Oxford
Soledad Zaragoza Alvarez;76;9;381-41-1083;M;0;London
Raquel Acuña Aponte;48;4;861-39-7828;F;80;Liverpool
Rosalia Barragán Carbajal;86;6;728-91-2453;M;80;Glasgow
Dolores Soria Girón;42;8;782-99-7345;M;50;Oxford
Lorenzo Castellanos Curiel;26;7;162-87-7221;M;100;London
Felipe Luna Díaz;20;5;849-63-4187;F;0;Liverpool
María Eugenia Paredes Padilla;25;7;617-57-5700;F;80;Oxford
Susana Meza Flores;36;8;670-93-5054;M;0;Glasgow
Sancho Sanabria Galindo;49;8;362-35-7924;M;50;Oxford
Francisca Mascareñas Collazo;21;9;825-34-5945;M;100;Oxford
Marco Antonio Ordóñez Domínguez;15;7;347-03-8650;F;50;Glasgow
Mario Cepeda Caraballo;84;10;286-54-4143;M;50;Oxford
Inés Hernández Mares;35;1;338-31-6121;M;50;Glasgow
Sta. Teodoro Gonzales Nava;40;7;813-28-6071;F;80;Glasgow
Sta. Enrique Delapaz Alarcón;39;8;542-20-6886;M;100;Bristol
Ester Perea Tapia;55;4;377-91-2415;M;50;London
Antonio Flórez Riojas;16;2;034-05-5043;F;0;Glasgow
Rafael Guzmán Yáñez;30;6;634-17-0847;F;50;Liverpool
Nicolás Ontiveros Estévez;29;5;602-94-1490;M;0;Bristol
Fernando Arroyo Alcala;20;9;764-61-3151;M;100;Glasgow
Marta Palomino Granados;71;5;262-39-7678;F;80;Bristol
Ariadna Arroyo Barragán;27;3;148-54-1078;M;100;London
Sancho Rivero Espinoza;6;2;527-73-7762;M;80;Oxford
Germán Muñiz Galván;3;8;857-24-9313;M;80;Bristol
Rebeca Angulo Rubio;16;7;275-04-6738;M;80;Glasgow
Sta. Jaime Ávalos Urrutia;52;5;192-85-3683;M;100;Oxford
Sra. Sonia Lozada Santillán;11;10;325-64-6220;M;0;Oxford
Esteban Marroquín Negrón;3;4;463-55-0045;F;0;Liverpool
Tomás Carrera Hernandes;6;9;769-07-8078;F;50;Glasgow
María Eugenia Apodaca Ulloa;88;5;348-62-8934;M;0;Bristol
Elvira Borrego Casanova;9;6;594-36-2685;F;50;Glasgow
Ernesto Gracia Ayala;22;2;551-14-6134;M;50;Bristol
Blanca Delatorre Ríos;32;9;494-19-9547;M;0;Oxford
Nicolás González Bonilla;43;1;279-69-3405;F;100;Liverpool
Jesús Regalado Mata;43;6;892-62-2851;F;0;London
Claudia Zarate Alicea;4;4;051-21-8526;F;100;Oxford
Alfredo Ballesteros Palomo;35;5;216-05-4329;F;0;Liverpool
Ramiro Rivas Menéndez;46;10;594-34-9843;M;100;Oxford
Sra. Vicente Zambrano Pichardo;33;6;155-88-6872;M;80;Glasgow
Alberto Arredondo Ybarra;55;5;199-12-9502;M;100;Bristol
Sra. Estela Núñez Arriaga;39;3;270-69-0567;M;0;Oxford
Sra. Joaquín Quesada Navarrete;24;9;334-15-5021;F;0;Glasgow
Cristobal Holguín Abrego;84;1;785-02-4672;M;0;Oxford
Sta. Gabriel Arreola Zambrano;67;7;558-15-2601;F;0;Oxford
Anita Berríos Elizondo;38;3;192-15-9128;M;0;Oxford
Sta. Olivia Oquendo Véliz;20;5;216-95-8101;F;80;London
Sr. María Teresa Meraz Aponte;89;3;582-13-6940;M;0;London
Florencia Adame Hernádez;45;6;548-31-2662;M;50;London
Benito Malave Briones;83;10;696-76-0731;F;0;Bristol
Carolina Cano Irizarry;36;10;067-21-7743;M;0;Glasgow
Sra. Pedro Vaca Alcántar;88;5;483-56-2718;M;100;Oxford
Jerónimo Hurtado Lugo;11;4;083-55-5854;M;80;London
Margarita Cadena Narváez;28;5;431-87-5230;F;100;Liverpool
Timoteo Amaya Alvarez;17;1;228-62-3793;M;0;Glasgow
José María Zelaya Barela;20;5;831-96-4368;M;80;London
Guadalupe Rael Ojeda;90;6;615-76-3774;M;80;Oxford
Arturo Linares Paredes;27;9;578-20-9934;M;80;Glasgow
Marcela Ferrer Colunga;2;6;557-67-3067;F;50;London
Luis Miguel Gracia Negrete;43;7;039-83-7343;M;80;Oxford
Víctor Bustamante Guevara;5;5;475-91-6818;F;50;London
Martín Echevarría Apodaca;23;7;848-14-3922;F;100;Oxford
Adela Vigil Espinoza;34;10;255-85-6556;M;100;London
María Eugenia Villegas Olivo;21;6;421-97-0976;F;80;Glasgow
Adán Romero Prado;50;6;439-79-2877;F;0;Bristol
Sta. Gilberto Roybal Palomino;52;7;701-41-2416;M;100;Oxford
Mariano Bernal Zaragoza;9;8;196-77-5766;M;80;Bristol
Sta. María del Carmen Dueñas Madrid;15;1;714-15-3468;F;100;London
Leonor Alcala Gaytán;19;3;845-44-1921;F;50;Oxford
Beatriz Sisneros Bernal;44;3;189-41-8442;M;50;Bristol
Victoria Hernández Anguiano;22;3;243-99-6267;M;0;Oxford
Sr. Rubén Ramón Angulo;69;6;317-07-0214;F;0;Glasgow
Conchita Trejo Cantú;5;3;327-07-3323;M;50;Glasgow
Estela Valverde Navarrete;34;5;348-99-7770;F;50;Bristol
Marisol Oquendo Delgado;3;4;069-32-8684;F;80;Oxford
Hugo Martínez Pacheco;7;5;469-65-1130;F;50;Glasgow
María Elena Rivera Carmona;28;6;625-84-8737;F;50;London
Alberto Centeno Lugo;2;9;390-36-8892;M;0;Bristol
Octavio Navarrete Echevarría;60;4;709-75-3651;F;80;Oxford
Timoteo Aragón Villaseñor;52;9;212-42-9459;F;0;Bristol
Octavio Suárez Navarrete;17;2;700-99-7750;F;80;Liverpool
Cristina Llamas Berríos;84;8;363-78-4903;F;0;Liverpool
Vicente Montemayor Arredondo;4;4;708-27-0592;F;50;London
Vicente Trejo Jiménez;84;2;387-56-9392;F;0;Liverpool
Julio Rojo Roque;62;1;711-37-0121;M;0;London
Sra. Andrés Hernandes Ozuna;45;3;399-97-4470;F;100;Liverpool
Carolina Baca Fernández;26;2;306-58-3981;M;50;London
Agustín Apodaca Borrego;10;5;492-71-7892;F;0;Glasgow
Esperanza Saavedra Mejía;84;9;053-93-4181;F;80;Bristol
Agustín Granado Ureña;81;10;764-94-8438;M;50;Glasgow
Guillermina Sierra Bahena;88;7;554-41-9028;F;0;Glasgow
Sr. Alejandro Valverde Gallegos;86;1;847-26-3572;F;50;Oxford
Mayte Cavazos Ceballos;86;7;242-18-0285;F;50;Bristol
Sra. Ramón Oquendo Valle;82;9;294-15-0432;M;50;Oxford
Julia Verduzco Centeno;12;5;044-94-4051;M;0;Liverpool
Ana Ramírez Rolón;14;5;588-94-3608;F;50;Liverpool
Sta. José Emilio Gaitán Casillas;59;2;017-50-4583;F;0;Bristol
Hugo Roybal Zamudio;85;6;728-51-5299;M;50;Glasgow
Marco Antonio Galván Saldivar;86;1;793-18-7732;M;80;London
Sr. Barbara Fonseca Araña;43;10;880-51-0691;M;80;Oxford
Virginia Valentín Matías;35;8;523-77-1781;F;0;Oxford
Graciela Mata Otero;71;5;189-36-5187;M;80;London
Eloisa Batista Aponte;75;10;155-74-8599;F;100;London
Mariana Palomino Piña;6;10;862-61-6100;M;50;Liverpool
Carmen Acosta Curiel;4;8;184-75-1507;M;50;Liverpool
Daniela Barreto Pineda;87;2;615-82-9906;M;0;Liverpool
Julio Archuleta Roybal;19;10;234-03-0901;F;50;Bristol
Susana Verdugo Ayala;78;6;718-76-4532;F;50;Glasgow
María Urías Pagan;47;6;267-80-6059;F;50;Liverpool
Sr. Homero Limón Partida;18;2;100-55-7294;M;100;Oxford
Juan Carlos Carvajal Alva;90;3;606-31-6254;F;80;Glasgow
Patricia Casas Tapia;26;1;617-52-3433;M;50;Liverpool
Felipe Adame Cadena;58;2;452-42-3728;M;0;Glasgow
Ramona Colunga Madrigal;87;2;640-60-0728;M;80;Oxford
Marilu Duran Huerta;83;6;690-45-4668;F;80;Glasgow
Julio César Montero León;87;6;543-63-4862;M;0;London
María José Hurtado Botello;65;8;606-03-2922;F;80;London
Hugo Castro Quiroz;54;10;654-17-1308;F;80;London
Reina Portillo Crespo;42;9;335-70-8769;F;80;London
Roberto Raya Briseño;5;10;821-99-3099;F;0;London
María José Jaramillo Balderas;15;1;538-01-1068;M;100;Bristol
Jorge Collazo Burgos;37;10;353-33-7963;F;100;Bristol
Juana Mendoza Núñez;26;6;888-78-8706;F;100;Bristol
Emilia Manzanares Loya;88;9;097-14-2312;F;0;London
Homero Arce Benítez;52;8;055-99-3322;M;80;Bristol
Sara Chacón Gamboa;9;7;055-86-8154;F;100;Bristol
Leticia Ávalos Cabán;69;7;832-70-5131;F;50;Oxford
Luisa Limón Viera;10;1;350-43-6949;F;100;Glasgow
Elvira Agosto Carrero;76;1;478-99-6057;F;0;London
Bernardo Delvalle Villalpando;85;6;235-83-4269;M;0;London
Sta. Lorena Fierro Casares;16;8;863-51-2389;M;50;Liverpool
Juan Matías Díaz;53;2;037-18-0023;F;50;Bristol
Gabriela Urrutia Gurule;22;3;440-73-6831;F;80;Glasgow
Marcela Negrete Torres;23;8;584-12-4902;F;50;Bristol
Sta. Jacobo Muro Guevara;9;1;696-95-5557;F;100;Glasgow
Vicente Nájera Carrasquillo;40;2;891-26-2145;M;80;Oxford
Joaquín Badillo Urbina;82;3;427-79-0121;M;0;Liverpool
Francisca Montalvo Carrasquillo;84;7;771-45-8826;F;50;Oxford
Verónica Soto Escalante;38;7;891-87-7596;M;0;Oxford
Gabriel Jaimes Pizarro;85;1;286-86-9793;F;0;Liverpool
Dolores Muñiz Vela;8;3;870-64-5627;F;100;Glasgow
César Salas Espinosa;86;7;780-67-6553;M;0;Liverpool
Sra. Julio César Galarza Ruelas;21;8;288-10-5693;M;50;Glasgow
Antonia Arreola Pineda;38;10;874-51-4463;M;80;Liverpool
Sta. Reina Guzmán Sarabia;77;2;683-60-1650;F;0;London
Homero Prieto Oquendo;26;1;521-62-9858;M;0;Oxford
María Elena Merino Arellano;86;8;366-63-2301;F;0;London
Luz Crespo Peralta;31;8;822-75-0204;F;100;Glasgow
Emilia Luna Menchaca;8;4;673-07-5926;F;80;London
Hugo Córdova Barraza;37;6;591-49-4089;M;80;Oxford
Sra. Nicolás Olvera Villalpando;32;1;206-09-7065;F;0;Glasgow
Maricarmen Aragón Armenta;5;9;549-82-6379;F;50;Glasgow
Sta. Bernardo Sisneros Suárez;49;7;209-91-4431;F;0;Glasgow
Sr. Elena Farías Linares;28;7;086-63-5924;M;80;Glasgow
Margarita Uribe Ramírez;74;2;493-23-5639;M;0;Liverpool
Alejandra Jasso Mojica;37;4;487-50-7650;M;80;Oxford
Sra. Pilar Niño Carrera;28;5;560-11-5433;M;100;London
Hernán Sarabia Carrion;81;1;668-47-3195;F;50;Glasgow
Victoria Reynoso Gutiérrez;6;10;413-36-9326;F;80;Oxford
Sta. Lorena Valencia Armas;54;3;373-05-8619;F;0;Liverpool
José Peres Concepción;82;1;811-89-4156;M;0;Glasgow
Isabela Ulloa Maldonado;4;7;674-94-1487;M;0;Bristol
Sr. Marta Contreras Núñez;57;2;897-85-0086;M;0;Glasgow
Hernán Ochoa Medina;90;4;400-51-1835;F;0;London
Juana Espinoza Lerma;89;2;175-72-7490;F;0;London
Marisol Tovar Rocha;50;7;011-61-6078;F;100;Oxford
José Tovar Quintanilla;34;10;143-75-9282;M;0;Glasgow
Sta. Octavio Sánchez Carreón;85;3;266-58-4261;M;80;Glasgow
Sta. Gabriela Castillo Morales;34;2;107-54-8713;M;0;London
Elena Molina Ríos;82;9;558-97-5022;M;0;Oxford
Federico Marroquín Mendoza;21;7;295-48-6634;F;80;Bristol
Sr. Timoteo Berríos Peralta;50;10;600-26-6056;M;80;Glasgow
Julio Rosado Roque;51;9;608-99-3859;F;100;Liverpool
Gonzalo Toledo Collado;81;3;708-98-7310;F;0;Liverpool
Andrés Lira Saldivar;71;3;296-29-6083;M;0;London
Martín Saavedra Cervántez;63;9;593-07-4281;F;50;London
Arturo Alonzo Suárez;63;6;018-98-3319;F;100;Bristol
Ignacio de Jesús Segovia;11;6;756-87-8773;M;0;Glasgow
